"Complaint #","Date","Address #","Street Name","Borough","Block","Lot","BIN","Postcode","Landmark Name","Work Reported","Action Taken","Status","Council District","Community Board","NTA","Latitude","Longitude"
"CMP-15-00003","07/01/2014","131","East 65th Street","Manhattan","1400","113","1042450","10065","Upper East Side - Historic District","Construction of rear yard addition without permits; photographs with complaint file","Warning Letter Issued","Closed","04","MN-08","Upper East Side-Carnegie Hill","40.76613981858","-73.9657913219"
"CMP-15-00004","07/01/2014","93","St. Johns Place","Brooklyn","945","77","3019314","11217","Park Slope - Historic District","work being done; working on building façade","No Warning Letter Issued","Closed","39","BK-06","Park Slope-Gowanus","40.67720674265","-73.97602168538"
"CMP-15-00005","07/01/2014","903","Sterling Place","Brooklyn","1241","58","3031568","11216","Crown Heights North  II - Historic District","painting base of building without permits","Warning Letter Issued","Closed","36","BK-08","Crown Heights North","40.6724548448","-73.94872661471"
"CMP-15-00001","07/01/2014","180","10th Avenue","Manhattan","718","7502","1088996","10011","Chelsea - Historic District","Installation of bar on patio","No Warning Letter Issued","Closed","03","MN-04","Hudson Yards-Chelsea-Flatiron-Union Square","40.74621518344","-74.00522937407"
"CMP-15-00002","07/01/2014","1156","Dean Street","Brooklyn","1212","24","3030313","11216","Crown Heights North - Historic District","Painting front walls","Warning Letter Issued","Closed","36","BK-08","Crown Heights North","40.67694366645","-73.95129007013"
"CMP-15-00006","07/03/2014","466","Broome Street","Manhattan","485","40","1007280","10013","SoHo-Cast Iron - Historic District","Installation illumination at periphery of window","Warning Letter Issued","Closed","01","MN-02","SoHo-TriBeCa-Civic Center-Little Italy","40.72247043133","-74.00121217644"
"CMP-15-00009","07/07/2014","71","West 12th Street","Manhattan","576","76","1009634","10011","Greenwich Village - Historic District","Interior demolition without permits","No Warning Letter Issued","Closed","03","MN-02","West Village","40.73581815238","-73.99727205665"
"CMP-15-00008","07/07/2014","568","Hancock Street","Brooklyn","1660","38","3046079","11233","Bedford Stuyvesant/Expanded Stuyvesant Heights - Historic District","Stuccoing over bay, windows in noncompliance, cornice in noncompliance","Warning Letter Issued","Closed","36","BK-03","Stuyvesant Heights","40.68448807252","-73.93297525196"
"CMP-15-00007","07/07/2014","369","Greenwich Street","Manhattan","181","13","1002072","10013","Tribeca West - Historic District","installation of platform at sidewalk café","Warning Letter Issued","Closed","01","MN-01","SoHo-TriBeCa-Civic Center-Little Italy","40.71935193105","-74.01029941018"
"CMP-15-00013","07/08/2014","113","St. Johns Place","Brooklyn","945","68","3019305","11217","Park Slope - Historic District","Jackhammering front steps","No Warning Letter Issued","Closed","39","BK-06","Park Slope-Gowanus","40.67703922122","-73.97559272556"
