"ObjectID","Meter Number","Status","Pay By Cell Number","Meter_Hours","Parking_Facility_Name","Facility","Borough","On_Street","Side_of_Street","From_Street","To_Street","Latitude","Longitude","X","Y","Location"
"101","4193078","Active","467170","2HR Pas Mon-Sat 0830-1800",,"On Street","Queens","104 STREET","E","46 AVENUE","47 AVENUE","40.74591756635","-73.85959936168","1,023,153.57506789","211,065.702262148","POINT (-73.8595993616844 40.745917566352)"
"2120","4083019",,"445804",,,,"Queens","Hillside Avenue","S","169 Street","170 Street","40.71088043686","-73.79226815182","1,041,840.60429481","198,337.694909811","POINT (-73.7922681518164 40.7108804368644)"
"5481","3149815","Active","303078","2HR Pas Mon-Sat 0830-1900",,"On Street","Brooklyn","5 AVENUE","W","10 STREET","11 STREET","40.66828351939","-73.98715101363","987,814.472517893","182,750.366176397","POINT (-73.9871510136252 40.6682835193924)"
"14222","4122334","Active","467422","2HR Pas Mon-Sat 0900-1900",,"On Street","Queens","ROOSEVELT AVENUE","N","89 STREET","CASE STREET","40.74842379793","-73.87698654486","1,018,334.48628089","211,971.558061972","POINT (-73.8769865448588 40.7484237979294)"
"2164","1043004","Active","104465","2HR Pas Mon-Sat 0830-2200",,"On Street","Manhattan","2 AVENUE","E","EAST 20 STREET","EAST 21 STREET","40.73617485176","-73.98203631845","989,228.281698138","207,485.455157563","POINT (-73.9820363184475 40.7361748517639)"
"7893","4072172","Active","426975","2HR Pas Mon-Sat 0830-1900",,"On Street","Queens","35 AVENUE","N","37 STREET","38 STREET","40.75574478048","-73.9232787568","1,005,505.5391698","214,624.204331473","POINT (-73.9232787568004 40.7557447804838)"
"7951","3183087","Active","300674",,,,"Brooklyn","Bergen St","South","Smith St","Court St","40.68769562128","-73.99309066322","986,166.180210799","189,822.566926971","POINT (-73.9930906632185 40.6876956212845)"
"8751","3123044","Active","310075","2HR Pas Mon-Sat 0900-1900",,"On Street","Brooklyn","51 STREET","S","4 AVENUE","5 AVENUE","40.64465025129","-74.01115892963","981,153.27389805","174,140.045142472","POINT (-74.0111589296345 40.6446502512877)"
"1412","3103004","Active","310707","2HR Pas Mon-Sat 0830-1900",,"On Street","Brooklyn","18 AVENUE","W","62 STREET","63 STREET","40.62046526291","-73.98894088143","987,320.139845133","165,328.801282063","POINT (-73.9889408814342 40.6204652629148)"
"8399","4512473","Active","434431","2HR Pas Mon-Sat 0730-1900",,"On Street","Queens","KISSENA BOULEVARD","W","71 AVENUE","71 AVENUE","40.72984751474","-73.81522271574","1,035,462.22203848","205,233.710973397","POINT (-73.8152227157436 40.7298475147443)"
"8608","4152111","Active","429750","2HR Pas Mon-Sat 0700-1900",,"On Street","Queens","QUEENS MIDTOWN TUNNEL","E","LONG ISLAND EXPWY ET 13 EB","QUEENS MIDTOWN TUNNEL","40.74138569238","-73.95443982786","996,875.119422808","209,386.702011228","POINT (-73.9544398278627 40.7413856923775)"
"646","4512460","Active","452394","2HR Pas Mon-Fri 0900-1900",,"On Street","Queens","72 DRIVE","S","72 CRESCENT","MAIN STREET","40.72523167271","-73.82138570383","1,033,757.54139271","203,548.476811066","POINT (-73.8213857038262 40.7252316727091)"
"13951","3483009","Active","310362","2HR Pas Mon-Sat 0900-1900",,"On Street","Brooklyn","KINGS HIGHWAY","N","WEST 5 STREET","WEST 4 STREET","40.60492850664","-73.97772883152","990,434.174299464","159,668.948100477","POINT (-73.9777288315235 40.6049285066426)"
"893","4723025","Active","469250","15HR Pas Mon-Sat 0700-2200","Sunnyside","Off Street","Queens","QUEENS BOULEVARD","S","35 STREET","36 STREET","40.7443154556","-73.92937625707","1,003,819.59077005","210,458.713646725","POINT (-73.9293762570688 40.7443154556037)"
"70","1058404","Active","113249","2HR Pas Mon-Sat 0800-1900",,"On Street","Manhattan","BROADWAY","W","WEST 173 STREET","WEST 174 STREET","40.84482724511","-73.93893475908","1,001,145.43568531","247,076.646644309","POINT (-73.9389347590777 40.8448272451119)"
"10823","1433392","Active","104182","3HR Com Mon-Fri 0700-1800 / 6HR Pas Mon-Fri 1800-2400 / 6HR Pas Sat 0800-2400",,"On Street","Manhattan","WEST 55 STREET","S","BROADWAY","8 AVENUE","40.7648663885","-73.98264240766","989,058.24463664","217,938.673096225","POINT (-73.9826424076626 40.7648663884967)"
"5386","3073099","Active","312399","2HR Pas Mon-Sat 0900-1900",,"On Street","Brooklyn","BAY 22 STREET","W","86 STREET","BENSON AVENUE","40.60529722366","-73.99997431222","984,257.132847801","159,802.495077476","POINT (-73.9999743122165 40.6052972236626)"
"5811","4443041","Active","418081","2HR Pas Mon-Sat 0900-1900",,"On Street","Queens","107 STREET","E","103 AVENUE","LIBERTY AVENUE","40.68367828952","-73.83436631052","1,030,188.26309822","188,402.291880399","POINT (-73.8343663105206 40.683678289516)"
"7376","3143021","Active","330955","2HR Pas Mon-Sat 0900-1900",,"On Street","Brooklyn","4 AVENUE","E","2 STREET","3 STREET","40.67420669294","-73.98532118008","988,321.730033562","184,908.42649281","POINT (-73.9853211800838 40.6742066929429)"
